iter	Passed	Remaining
0	2	1083
1	4	986
2	7	956
3	9	937
4	11	923
5	13	913
6	16	899
7	18	884
8	20	879
9	22	869
10	24	863
11	26	857
12	27	831
13	30	828
14	32	825
15	34	821
16	36	818
17	38	815
18	40	811
19	42	809
20	44	807
21	46	804
22	48	801
23	50	798
24	53	795
25	55	792
26	57	791
27	59	788
28	61	787
29	63	784
30	65	781
31	67	779
32	69	777
33	71	773
34	74	771
35	75	766
36	77	763
37	79	760
38	81	757
39	83	753
40	85	751
41	87	748
42	89	746
43	92	744
44	94	742
45	95	738
46	97	731
47	99	729
48	101	726
49	103	723
50	105	720
51	107	718
52	109	718
53	111	715
54	113	713
55	115	711
56	117	709
57	119	707
58	122	705
59	124	703
60	126	701
61	128	699
62	130	697
63	132	696
64	134	693
65	136	691
66	138	689
67	140	686
68	142	684
69	144	682
70	146	680
71	148	677
72	150	674
73	152	673
74	154	671
75	156	668
76	159	667
77	161	665
78	163	662
79	164	659
80	167	657
81	168	654
82	170	652
83	172	650
84	174	647
85	176	645
86	178	643
87	180	640
88	182	639
89	185	637
90	187	635
91	189	633
92	191	630
93	193	628
94	195	626
95	196	623
96	198	619
97	199	616
98	201	613
99	203	610
100	205	607
101	206	604
102	208	601
103	210	599
104	212	596
105	213	593
106	215	589
107	217	587
108	219	585
109	220	581
110	222	579
111	224	576
112	225	573
113	227	571
114	229	568
115	230	565
116	232	562
117	234	559
118	235	556
119	237	554
120	239	551
121	241	549
122	242	547
123	244	544
124	246	542
125	248	539
126	249	536
127	251	535
128	253	533
129	255	531
130	257	529
131	259	526
132	260	523
133	262	521
134	264	519
135	266	518
136	268	515
137	270	514
138	272	512
139	274	510
140	276	508
141	278	506
142	280	504
143	282	503
144	285	501
145	287	499
146	289	497
147	291	496
148	293	494
149	295	491
150	296	489
151	298	486
152	300	485
153	302	483
154	304	481
155	306	479
156	308	477
157	310	476
158	312	474
159	314	472
160	316	470
161	318	467
162	320	465
163	322	463
164	323	461
165	325	459
166	327	457
167	329	454
168	331	453
169	333	450
170	334	448
171	336	446
172	338	444
173	340	442
174	342	440
175	344	438
176	346	436
177	348	435
178	350	433
179	353	431
180	355	429
181	357	427
182	359	425
183	361	423
184	362	421
185	364	419
186	366	417
187	368	415
188	370	413
189	372	411
190	374	409
191	376	407
192	378	405
193	380	403
194	382	402
195	384	400
196	386	398
197	388	396
198	390	394
199	393	393
200	395	391
201	397	389
202	399	387
203	401	385
204	403	383
205	405	382
206	407	380
207	410	378
208	412	376
209	414	374
210	416	372
211	418	371
212	420	369
213	422	367
214	424	365
215	426	363
216	429	361
217	431	360
218	433	357
219	435	356
220	437	354
221	439	352
222	441	350
223	443	348
224	445	346
225	447	344
226	449	342
227	451	340
228	453	338
229	455	336
230	458	335
231	460	333
232	462	331
233	464	329
234	466	327
235	468	325
236	470	323
237	473	322
238	475	320
239	477	318
240	479	316
241	481	314
242	483	312
243	485	310
244	488	308
245	490	306
246	492	304
247	494	302
248	496	301
249	498	299
250	500	297
251	502	295
252	504	293
253	506	290
254	507	288
255	510	286
256	511	284
257	514	283
258	516	281
259	518	279
260	520	277
261	522	275
262	525	273
263	526	271
264	529	269
265	531	267
266	533	265
267	535	263
268	537	261
269	539	259
270	541	257
271	543	255
272	545	253
273	547	251
274	549	249
275	551	247
276	553	245
277	555	243
278	557	241
279	559	239
280	561	237
281	563	235
282	565	233
283	568	232
284	570	230
285	572	228
286	574	226
287	576	224
288	578	222
289	580	220
290	582	218
291	584	216
292	586	214
293	588	212
294	590	210
295	592	208
296	594	206
297	596	204
298	598	202
299	600	200
300	602	198
301	604	196
302	606	194
303	608	192
304	611	190
305	613	188
306	615	186
307	617	184
308	619	182
309	621	180
310	623	178
311	625	176
312	627	174
313	629	172
314	632	170
315	634	168
316	636	166
317	638	164
318	640	162
319	642	160
320	644	158
321	647	156
322	649	154
323	651	152
324	653	150
325	655	148
326	657	146
327	659	144
328	662	142
329	664	140
330	666	138
331	668	136
332	670	134
333	672	132
334	674	130
335	676	128
336	678	126
337	680	124
338	682	122
339	684	120
340	686	118
341	689	116
342	691	114
343	693	112
344	695	110
345	697	108
346	699	106
347	701	104
348	703	102
349	705	100
350	707	98
351	709	96
352	711	94
353	713	92
354	715	90
355	717	88
356	719	86
357	721	84
358	723	82
359	725	80
360	727	78
361	729	76
362	732	74
363	734	72
364	736	70
365	737	68
366	739	66
367	741	64
368	743	62
369	745	60
370	747	58
371	749	56
372	750	54
373	752	52
374	755	50
375	757	48
376	759	46
377	761	44
378	763	42
379	765	40
380	767	38
381	769	36
382	771	34
383	773	32
384	775	30
385	777	28
386	779	26
387	781	24
388	783	22
389	784	20
390	786	18
391	788	16
392	790	14
393	792	12
394	794	10
395	797	8
396	799	6
397	801	4
398	803	2
399	805	0
