iter	Logloss
0	0.6693764107
1	0.6439120111
2	0.6213656848
3	0.6009234568
4	0.584027907
5	0.5655462772
6	0.5534472671
7	0.539951795
8	0.5225199058
9	0.5062918554
10	0.4922015947
11	0.4774311553
12	0.465191654
13	0.4519728775
14	0.4409520075
15	0.4305406664
16	0.4204760013
17	0.4113816123
18	0.402671312
19	0.3966869755
20	0.3892054835
21	0.3823161579
22	0.3758180101
23	0.3726171978
24	0.3695096415
25	0.3644015861
26	0.3615953548
27	0.3583479195
28	0.3538955397
29	0.3518265129
30	0.3471558913
31	0.3425074335
32	0.3393728419
33	0.3358032552
34	0.3322573762
35	0.3291080838
36	0.3258825899
37	0.3224276188
38	0.3194164344
39	0.316505443
40	0.3139595472
41	0.3109325007
42	0.307773991
43	0.3053007995
44	0.3025147512
45	0.2992245552
46	0.2981965807
47	0.2952462745
48	0.2928962311
49	0.2901385082
50	0.2895357855
51	0.2873749162
52	0.2859902656
53	0.2841650931
54	0.2825999244
55	0.2804675045
56	0.2787502564
57	0.2775510272
58	0.2758575212
59	0.2741079266
60	0.2721271535
61	0.2718830803
62	0.2713064945
63	0.2689596033
64	0.2683854123
65	0.2658976805
66	0.263677452
67	0.2617155126
68	0.2600162756
69	0.2572119722
70	0.2550529026
71	0.2528526422
72	0.2511122401
73	0.2489519905
74	0.2468284037
75	0.2455096524
76	0.2445362651
77	0.2425765686
78	0.2421936051
79	0.2410298699
80	0.2408894948
81	0.2394087037
82	0.2378914352
83	0.2378574274
84	0.2366796016
85	0.2351572607
86	0.2337917298
87	0.232902341
88	0.2327011725
89	0.2310135033
90	0.2297274095
91	0.2283604096
92	0.2272197305
93	0.2260082834
94	0.2258668609
95	0.2246250026
96	0.2233486833
97	0.2220881483
98	0.2208485166
99	0.2195597826
