iter	Passed	Remaining
0	4	416
1	240	11770
2	508	16431
3	755	18123
4	759	14438
5	985	15443
6	989	13146
7	1214	13961
8	1219	12327
9	1448	13040
10	1456	11786
11	1511	11082
12	1514	10138
13	1742	10705
14	1973	11185
15	1980	10397
16	1984	9688
17	1987	9055
18	2003	8541
19	2055	8221
20	2289	8612
21	2515	8917
22	2738	9168
23	2959	9371
24	2969	8908
25	3241	9225
26	3246	8776
27	3365	8654
28	3585	8778
29	3810	8890
30	4034	8979
31	4062	8632
32	4066	8255
33	4069	7899
34	4177	7758
35	4408	7838
36	4466	7605
37	4690	7652
38	4693	7340
39	4924	7386
40	5146	7406
41	5373	7421
42	5601	7424
43	5829	7419
44	6055	7401
45	6060	7114
46	6292	7095
47	6295	6820
48	6523	6790
49	6747	6747
50	6965	6692
51	6971	6435
52	7191	6377
53	7196	6130
54	7425	6075
55	7436	5842
56	7660	5778
57	7885	5710
58	8105	5632
59	8325	5550
60	8558	5471
61	8792	5388
62	9029	5303
63	9252	5204
64	9257	4984
65	9259	4770
66	9489	4673
67	9728	4578
68	9952	4471
69	10176	4361
70	10400	4248
71	10623	4131
72	10847	4012
73	11070	3889
74	11293	3764
75	11523	3638
76	11745	3508
77	11965	3374
78	12211	3246
79	12440	3110
80	12683	2975
81	12811	2812
82	13039	2670
83	13279	2529
84	13500	2382
85	13723	2234
86	13951	2084
87	14184	1934
88	14186	1753
89	14406	1600
90	14631	1447
91	14634	1272
92	14857	1118
93	14862	948
94	15102	794
95	15339	639
96	15347	474
97	15603	318
98	15606	157
99	15828	0
