iter	Logloss
0	0.6394087189
1	0.5930905227
2	0.556689671
3	0.5217635538
4	0.494517927
5	0.471401833
6	0.452361605
7	0.4339647025
8	0.4182195098
9	0.4047509421
10	0.3944919553
11	0.3844533294
12	0.3752672227
13	0.3673781405
14	0.3608158354
15	0.354627061
16	0.3492244895
17	0.3448268447
18	0.3409220416
19	0.3368932216
20	0.3327370667
21	0.3295131603
22	0.3262969865
23	0.3233462929
24	0.3209465687
25	0.3183008595
26	0.3160974527
27	0.3147336301
28	0.3131803459
29	0.3114450777
30	0.3101290097
31	0.3089038475
32	0.3072528144
33	0.3058918083
34	0.3043400127
35	0.302976458
36	0.3015939232
37	0.3003912551
38	0.2990927489
39	0.2989971399
40	0.2985089004
41	0.2972397425
42	0.2959639735
43	0.2950228926
44	0.2941084658
45	0.2933409089
46	0.2923992466
47	0.291787534
48	0.2908450176
49	0.2899689666
50	0.2891571031
51	0.2882416727
52	0.2873198412
53	0.2865999682
54	0.2857369953
55	0.2852412919
56	0.2848358677
57	0.2838851797
58	0.2834127078
59	0.283031104
60	0.2824001124
61	0.2821276276
62	0.2815191026
63	0.2811497731
64	0.2810185161
65	0.2805305159
66	0.2802386714
67	0.279735744
68	0.2790982232
69	0.2788289179
70	0.2784606478
71	0.2773867325
72	0.276890152
73	0.2768678871
74	0.2764014144
75	0.2761517973
76	0.2760838162
77	0.2756538743
78	0.2752162406
79	0.2747726383
80	0.2740446575
81	0.2735664039
82	0.2731880164
83	0.273119551
84	0.2725441696
85	0.2720984377
86	0.2719590641
87	0.2716030815
88	0.2709901404
89	0.2704323504
90	0.2697109023
91	0.2691880271
92	0.2691402686
93	0.2687827354
94	0.2685781771
95	0.2681359451
96	0.2679043383
97	0.267886183
98	0.2675668857
99	0.2673205259
100	0.266880808
101	0.2663860531
102	0.2662300985
103	0.266091923
104	0.2657717465
105	0.265388269
106	0.2653661729
107	0.2650594476
108	0.2648368925
109	0.2644210244
110	0.2640230939
111	0.2637313772
112	0.2634768484
113	0.2633191443
114	0.2629297115
115	0.2625465665
116	0.2622849528
117	0.2621146522
118	0.2619215888
119	0.2614736012
120	0.2611132047
121	0.2607901748
122	0.2606681305
123	0.2600394256
124	0.2596288173
125	0.2591999014
126	0.2589985613
127	0.2587270829
128	0.2584695897
129	0.2583324751
130	0.2583324244
131	0.2578392876
132	0.2575499001
133	0.2570528388
