iter	Passed	Remaining
0	7	3973
1	16	4209
2	21	3529
3	30	3779
4	37	3694
5	46	3822
6	54	3863
7	62	3872
8	70	3832
9	77	3797
10	84	3746
11	92	3767
12	99	3730
13	107	3728
14	115	3730
15	123	3727
16	130	3712
17	137	3685
18	145	3685
19	152	3658
20	160	3657
21	168	3655
22	176	3670
23	185	3677
24	194	3688
25	202	3683
26	209	3671
27	217	3661
28	224	3649
29	232	3644
30	240	3644
31	248	3630
32	256	3631
33	264	3621
34	272	3615
35	280	3613
36	287	3599
37	295	3596
38	304	3599
39	307	3531
40	310	3479
41	319	3483
42	327	3475
43	336	3487
44	344	3481
45	351	3470
46	358	3458
47	366	3455
48	374	3446
49	382	3439
50	390	3433
51	398	3434
52	406	3429
53	414	3424
54	422	3416
55	428	3400
56	436	3396
57	444	3384
58	452	3380
59	460	3375
60	469	3377
61	477	3375
62	486	3375
63	493	3364
64	500	3352
65	508	3346
66	515	3334
67	523	3328
68	532	3326
69	540	3317
70	547	3307
71	554	3297
72	562	3290
73	565	3255
74	573	3248
75	580	3237
76	583	3206
77	590	3194
78	598	3188
79	606	3181
80	613	3172
81	621	3168
82	628	3159
83	631	3128
84	638	3117
85	646	3112
86	652	3097
87	659	3088
88	667	3081
89	676	3079
90	683	3072
91	691	3067
92	694	3038
93	701	3030
94	708	3021
95	715	3011
96	723	3005
97	726	2978
98	734	2973
99	741	2965
100	749	2960
101	757	2954
102	764	2947
103	772	2940
104	779	2933
105	788	2929
106	791	2906
107	795	2888
108	804	2885
109	812	2881
110	821	2877
111	828	2869
112	836	2865
113	844	2858
114	852	2852
115	860	2847
116	868	2844
117	875	2835
118	883	2828
119	891	2823
120	899	2818
121	908	2814
122	915	2805
123	924	2801
124	931	2794
125	938	2786
126	946	2778
127	953	2770
128	961	2764
129	968	2755
130	970	2734
131	977	2726
132	985	2718
133	992	2710
134	1000	2704
135	1007	2696
136	1015	2690
137	1023	2685
138	1032	2680
139	1039	2673
140	1046	2665
141	1054	2658
142	1062	2652
143	1069	2644
144	1078	2639
145	1085	2632
146	1092	2622
147	1099	2615
148	1106	2607
149	1114	2600
150	1123	2596
151	1126	2578
152	1133	2570
153	1140	2562
154	1147	2554
155	1155	2548
156	1163	2541
157	1170	2534
158	1178	2526
159	1186	2520
160	1194	2515
161	1201	2507
162	1210	2502
163	1218	2496
164	1226	2490
165	1233	2482
166	1240	2474
167	1248	2467
168	1255	2459
169	1263	2453
170	1272	2448
171	1280	2442
172	1289	2436
173	1297	2430
174	1306	2425
175	1313	2418
176	1316	2402
177	1323	2394
178	1330	2386
179	1338	2379
180	1345	2372
181	1349	2357
182	1356	2350
183	1365	2344
184	1373	2338
185	1380	2330
186	1388	2323
187	1396	2317
188	1403	2310
189	1410	2301
190	1418	2294
191	1425	2287
192	1433	2279
193	1439	2270
194	1446	2263
195	1454	2255
196	1461	2247
197	1469	2241
198	1477	2234
199	1485	2228
200	1493	2221
201	1500	2214
202	1507	2205
203	1514	2197
204	1521	2189
